Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob,Primary Aftershocks Mean
2.5,507.20636,444.0,610.0,496.0,491.0,1.0,0.03909,457.6264
2.6,402.90042,349.0,487.0,394.0,392.0,1.0,0.03909,363.4949
2.7,320.02618,273.0,388.0,313.0,309.0,1.0,0.03909,288.7431
2.8,254.20337,214.0,311.0,249.0,245.0,1.0,0.03909,229.35503
2.9,201.89532,167.0,249.0,198.0,197.0,1.0,0.03909,182.16713
3.0,160.35661,130.0,200.0,157.0,156.0,1.0,0.03909,144.68094
3.1,127.38305,101.0,161.0,125.0,123.0,1.0,0.03909,114.9335
3.2,101.17818,78.0,130.0,99.0,98.0,1.0,0.03909,91.28772
3.3,80.35619,60.0,105.0,79.0,78.0,1.0,0.03909,72.49907
3.4,63.81712,46.0,85.0,62.0,62.0,1.0,0.03909,57.57604
3.5,50.66264,35.0,69.0,50.0,49.0,1.0,0.03909,45.70132
3.6,40.2286,27.0,57.0,39.0,38.0,1.0,0.03909,36.29026
3.7,31.93263,20.0,46.0,31.0,31.0,1.0,0.03909,28.80951
3.8,25.362,15.0,38.0,25.0,24.0,1.0,0.03909,22.88232
3.9,20.13194,11.0,31.0,20.0,19.0,1.0,0.03909,18.16424
4.0,15.98029,8.0,26.0,16.0,15.0,1.0,0.03909,14.41825
4.1,12.67456,6.0,21.0,12.0,12.0,1.0,0.03909,11.43627
4.2,10.05388,4.0,18.0,10.0,9.0,0.99992,0.03909,9.06948
4.3,7.9772,3.0,15.0,8.0,7.0,0.99937,0.03909,7.19786
4.4,6.32255,2.0,12.0,6.0,6.0,0.99725,0.03909,5.70534
4.5,5.01557,1.0,10.0,5.0,4.0,0.99084,0.03909,4.52669
4.6,3.97528,1.0,9.0,4.0,3.0,0.97595,0.03909,3.58704
4.7,3.1496,0.0,7.0,3.0,2.0,0.94958,0.03909,2.84243
4.8,2.49223,0.0,6.0,2.0,2.0,0.90511,0.03909,2.25016
4.9,1.96937,0.0,5.0,2.0,1.0,0.84507,0.03909,1.77716
5.0,1.55679,0.0,5.0,1.0,1.0,0.77247,0.03909,1.40364
5.1,1.22733,0.0,4.0,1.0,1.0,0.6889,0.03909,1.10651
5.2,0.96386,0.0,3.0,1.0,0.0,0.60098,0.03909,0.86875
5.3,0.75572,0.0,3.0,1.0,0.0,0.51456,0.03909,0.68061
5.4,0.59069,0.0,3.0,0.0,0.0,0.43276,0.03909,0.53204
5.5,0.4605,0.0,2.0,0.0,0.0,0.35838,0.03909,0.41463
5.6,0.35627,0.0,2.0,0.0,0.0,0.29178,0.03909,0.32089
5.7,0.27277,0.0,2.0,0.0,0.0,0.23231,0.03909,0.24572
5.8,0.20746,0.0,1.0,0.0,0.0,0.18279,0.03909,0.18676
5.9,0.15624,0.0,1.0,0.0,0.0,0.14142,0.03909,0.14081
6.0,0.11837,0.0,1.0,0.0,0.0,0.10873,0.03907,0.10665
6.1,0.0872,0.0,1.0,0.0,0.0,0.08159,0.03461,0.07855
6.2,0.05643,0.0,1.0,0.0,0.0,0.05366,0.02637,0.05067
6.3,0.04293,0.0,1.0,0.0,0.0,0.04134,0.02235,0.03876
6.4,0.03216,0.0,1.0,0.0,0.0,0.03114,0.01916,0.02892
6.5,0.02503,0.0,0.0,0.0,0.0,0.02429,0.01686,0.02239
6.6,0.02142,0.0,0.0,0.0,0.0,0.02101,0.01577,0.0193
6.7,0.01764,0.0,0.0,0.0,0.0,0.01733,0.01369,0.01588
6.8,0.01441,0.0,0.0,0.0,0.0,0.0142,0.01173,0.01298
6.9,0.01143,0.0,0.0,0.0,0.0,0.01134,0.0097,0.01028
7.0,0.00902,0.0,0.0,0.0,0.0,0.00899,0.00795,0.00812
7.1,0.00748,0.0,0.0,0.0,0.0,0.00746,0.00682,0.00673
7.2,0.00564,0.0,0.0,0.0,0.0,0.00564,0.00527,0.00508
7.3,0.00379,0.0,0.0,0.0,0.0,0.00379,0.00359,0.00339
7.4,0.00334,0.0,0.0,0.0,0.0,0.00334,0.00327,0.00301
7.5,0.00261,0.0,0.0,0.0,0.0,0.00261,0.00258,0.00237
7.6,0.00156,0.0,0.0,0.0,0.0,0.00156,0.00156,0.00144
7.7,4.6E-4,0.0,0.0,0.0,0.0,4.6E-4,4.6E-4,4.4E-4
7.8,2.9E-4,0.0,0.0,0.0,0.0,2.9E-4,2.9E-4,2.8E-4
7.9,1.8E-4,0.0,0.0,0.0,0.0,1.8E-4,1.8E-4,1.7E-4
8.0,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,4.0E-5,4.0E-5
8.1,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
