Percentile,1 d,1 wk,1 mo
p0.0,72.0,119.0,151.0
p1.0,102.0,153.0,195.0
p2.0,105.0,158.0,201.0
p3.0,108.0,161.0,204.0
p4.0,109.0,164.0,208.0
p5.0,111.0,166.0,210.0
p6.0,112.0,167.0,212.0
p7.0,113.0,169.0,214.0
p8.0,114.0,170.0,216.0
p9.0,115.0,172.0,217.0
p10.0,116.0,173.0,219.0
p11.0,116.0,174.0,220.0
p12.0,117.0,175.0,221.0
p13.0,118.0,176.0,223.0
p14.0,119.0,177.0,224.0
p15.0,119.0,178.0,225.0
p16.0,120.0,179.0,226.0
p17.0,120.0,179.0,227.0
p18.0,121.0,180.0,228.0
p19.0,122.0,181.0,229.0
p20.0,122.0,182.0,230.0
p21.0,123.0,183.0,231.0
p22.0,123.0,183.0,232.0
p23.0,124.0,184.0,233.0
p24.0,124.0,185.0,234.0
p25.0,125.0,186.0,235.0
p26.0,125.0,186.0,236.0
p27.0,126.0,187.0,237.0
p28.0,126.0,188.0,238.0
p29.0,127.0,188.0,239.0
p30.0,127.0,189.0,240.0
p31.0,128.0,190.0,241.0
p32.0,128.0,190.0,241.0
p33.0,128.0,191.0,242.0
p34.0,129.0,192.0,243.0
p35.0,129.0,192.0,244.0
p36.0,130.0,193.0,245.0
p37.0,130.0,194.0,246.0
p38.0,131.0,194.0,247.0
p39.0,131.0,195.0,248.0
p40.0,132.0,196.0,248.0
p41.0,132.0,196.0,249.0
p42.0,132.0,197.0,250.0
p43.0,133.0,198.0,251.0
p44.0,133.0,198.0,252.0
p45.0,134.0,199.0,253.0
p46.0,134.0,200.0,254.0
p47.0,135.0,200.0,255.0
p48.0,135.0,201.0,256.0
p49.0,135.0,202.0,257.0
p50.0,136.0,202.0,258.0
p51.0,136.0,203.0,259.0
p52.0,137.0,204.0,260.0
p53.0,137.0,205.0,260.0
p54.0,138.0,205.0,262.0
p55.0,138.0,206.0,263.0
p56.0,139.0,207.0,264.0
p57.0,139.0,208.0,265.0
p58.0,140.0,208.0,266.0
p59.0,140.0,209.0,267.0
p60.0,141.0,210.0,268.0
p61.0,141.0,211.0,269.0
p62.0,142.0,212.0,270.0
p63.0,142.0,212.0,271.0
p64.0,143.0,213.0,273.0
p65.0,143.0,214.0,274.0
p66.0,144.0,215.0,275.0
p67.0,144.0,216.0,277.0
p68.0,145.0,217.0,278.0
p69.0,146.0,218.0,280.0
p70.0,146.0,219.0,281.0
p71.0,147.0,220.0,283.0
p72.0,147.0,221.0,284.0
p73.0,148.0,222.0,286.0
p74.0,149.0,224.0,288.0
p75.0,150.0,225.0,290.0
p76.0,150.0,226.0,292.0
p77.0,151.0,228.0,294.0
p78.0,152.0,229.0,296.0
p79.0,153.0,231.0,299.0
p80.0,154.0,233.0,301.0
p81.0,155.0,234.0,304.0
p82.0,156.0,236.0,307.0
p83.0,157.0,238.0,311.0
p84.0,158.0,241.0,314.0
p85.0,159.0,243.0,318.0
p86.0,161.0,246.0,323.0
p87.0,162.0,249.0,328.0
p88.0,164.0,253.0,335.0
p89.0,166.0,257.0,342.0
p90.0,168.0,262.0,351.0
p91.0,171.0,269.0,361.0
p92.0,174.0,276.0,375.0
p93.0,178.0,287.0,393.0
p94.0,183.0,301.0,417.0
p95.0,191.0,322.0,447.0
p96.0,204.0,352.96,492.0
p97.0,226.0,399.0,555.0
p98.0,265.0,469.0,689.0
p99.0,358.0,698.0,951.0
p100.0,1685.0,3207.0,3999.0
