Name,1 Week Prob M≥7.1,1 Month Prob M≥7.1,1 Month Prob M≥7,1 Month Mean Num M≥3.5,1 Month Median Num M≥3.5,1 Month Garlock Prob M≥7,1 Month SAF Mojave Prob M≥7
"[M7.1, ShakeMap Source](../2019_09_04-ComCatM7p1_ci38457511_ShakeMapSurfaces/README.md)",3.014%,3.755%,4.550%,287.1,258.0,3.174%,0.315%
"[M7.1, ShakeMap Source, No Faults](../2019_08_20-ComCatM7p1_ci38457511_ShakeMapSurfaces_NoFaults-noSpont-poisson-griddedOnly/README.md)",4.903%,6.360%,8.007%,343.3,267.0,N/A,N/A
"[M7.1, ShakeMap Source, NoERT Branch](../2019_08_09-ComCatM7p1_ci38457511_ShakeMapSurfaces_NoERT-noSpont-no_ert/README.md)",3.480%,4.529%,5.301%,295.1,258.0,3.934%,0.405%
"[M7.1, ShakeMap Source, FM 3.2](../2019_09_04-ComCatM7p1_ci38457511_ShakeMapSurfaces_FM3_2/README.md)",3.075%,3.912%,4.661%,286.6,257.0,3.306%,0.290%
"[M7.1, ShakeMap Source, Early Catalog](../2019_07_16-ComCatM7p1_ci38457511_ShakeMapSurfaces-noSpont-full_td-scale1.14/README.md)",2.991%,3.707%,4.477%,286.2,257.0,3.123%,0.294%
"[M7.1, ShakeMap Source, Seq. Specific](../2019_08_30-ComCatM7p1_ci38457511_MainshockLog10_k_2p3_ShakeMapSurfaces_Log10_k_3p03_p1p15_c0p002/README.md)",3.852%,4.261%,5.131%,299.0,294.0,3.696%,0.352%
"[M7.1, ShakeMap Source, No TotRateScaleFactor)](../2019_09_02-ComCatM7p1_ci38457511_ShakeMapSurfaces_ScaleFactor1p0/README.md)",2.969%,3.794%,4.496%,287.1,258.0,3.180%,0.322%
"[M7.1, Point Source, No Faults)](../2019_09_03-ComCatM7p1_ci38457511_PointSources_NoFaults/README.md)",4.997%,6.436%,7.989%,341.6,267.0,N/A,N/A
Range,[2.969% 4.997%],[3.707% 6.436%],[4.477% 8.007%],[286.2 343.3],[257.0 294.0],[3.123% 3.934%],[0.290% 0.405%]
"Gain (w.r.t. M7.1, ShakeMap Source)",[0.99 1.66],[0.99 1.71],[0.98 1.76],[1.00 1.20],[1.00 1.14],[0.98 1.24],[0.92 1.29]
