Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,409.0,166.72345,110.0,101.0,53.0,18519.0,80.0,92.0,154.0,513.0
2.65,320.0,132.39526,87.0,79.0,39.0,14594.0,62.0,73.0,123.0,407.0
2.75,325.0,105.19362,70.0,62.0,28.0,11661.0,48.0,57.0,98.0,324.0
2.85,220.0,83.57215,56.0,52.0,22.0,9225.0,37.0,45.0,78.0,257.0
2.95,166.0,66.34422,44.0,40.0,15.0,7177.0,28.0,35.0,63.0,204.0
3.05,163.0,52.7472,35.0,31.0,10.0,5759.0,22.0,28.0,50.0,162.0
3.15,115.0,41.87539,28.0,25.0,7.0,4555.0,16.0,21.0,40.0,129.0
3.25,133.0,33.28521,22.0,21.0,3.0,3546.0,12.0,17.0,33.0,103.0
3.35,92.0,26.44817,18.0,16.0,2.0,3068.0,9.0,13.0,26.0,82.0
3.45,121.0,21.00066,14.0,13.0,1.0,2300.0,7.0,10.0,21.0,65.0
3.55,108.0,16.6841,11.0,10.0,0.0,1850.0,5.0,8.0,17.0,52.0
3.65,71.0,13.232,9.0,8.0,0.0,1468.0,3.0,6.0,14.0,42.0
3.75,34.0,10.51849,7.0,6.0,0.0,1164.0,2.0,4.0,11.0,33.0
3.85,37.0,8.3635,6.0,5.0,0.0,1000.0,1.0,3.0,9.0,26.0
3.95,29.0,6.63022,4.0,4.0,0.0,689.0,1.0,2.0,8.0,21.0
4.05,27.0,5.26445,4.0,3.0,0.0,602.0,0.0,2.0,6.0,17.0
4.15,15.0,4.18727,3.0,2.0,0.0,466.0,0.0,1.0,5.0,13.0
4.25,9.0,3.32598,2.0,2.0,0.0,319.0,0.0,1.0,4.0,11.0
4.35,10.0,2.64334,2.0,1.0,0.0,285.0,0.0,0.0,4.0,9.0
4.45,8.0,2.09784,1.0,1.0,0.0,233.0,0.0,0.0,3.0,7.0
4.55,13.0,1.66602,1.0,1.0,0.0,165.0,0.0,0.0,3.0,6.0
4.65,6.0,1.32142,1.0,0.0,0.0,141.0,0.0,0.0,2.0,5.0
4.75,3.0,1.04924,1.0,0.0,0.0,112.0,0.0,0.0,2.0,4.0
4.85,5.0,0.83878,0.0,0.0,0.0,92.0,0.0,0.0,1.0,4.0
