Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,2447.0,627.89856,524.0,473.0,325.0,17513.0,414.0,457.0,705.0,1512.0
2.6,2038.0,498.7695,417.0,380.0,257.0,13828.0,326.0,362.0,561.0,1203.0
2.7,1718.0,396.13568,332.0,299.0,198.0,10904.0,256.0,286.0,446.0,955.0
2.8,1393.0,314.6731,264.0,246.0,150.0,8723.0,201.0,226.0,356.0,760.0
2.9,1173.0,249.95802,210.0,194.0,121.0,6872.0,157.0,178.0,284.0,604.0
3.0,1007.0,198.57301,167.0,154.0,91.0,5451.0,122.0,141.0,226.0,481.0
3.1,844.0,157.77322,133.0,120.0,68.0,4295.0,95.0,111.0,180.0,382.0
3.2,729.0,125.29412,106.0,98.0,43.0,3383.0,74.0,87.0,144.0,303.0
3.3,596.0,99.51874,84.0,76.0,33.0,2672.0,57.0,68.0,115.0,243.0
3.4,504.0,79.0376,67.0,61.0,23.0,2092.0,44.0,54.0,92.0,193.0
3.5,383.0,62.78663,53.0,47.0,17.0,1678.0,33.0,42.0,74.0,154.0
3.6,275.0,49.86376,42.0,39.0,10.0,1335.0,25.0,33.0,60.0,123.0
3.7,204.0,39.60031,34.0,31.0,7.0,1064.0,19.0,25.0,48.0,98.0
3.8,170.0,31.45229,27.0,24.0,5.0,859.0,14.0,19.0,39.0,79.0
3.9,133.0,24.96386,21.0,19.0,2.0,668.0,10.0,15.0,31.0,63.0
4.0,104.0,19.82492,17.0,15.0,1.0,519.0,7.0,11.0,25.0,51.0
4.1,77.0,15.73489,13.0,12.0,0.0,420.0,5.0,9.0,21.0,41.0
4.2,62.0,12.4935,11.0,9.0,0.0,339.0,4.0,7.0,17.0,33.0
4.3,53.0,9.92668,8.0,7.0,0.0,254.0,2.0,5.0,14.0,27.0
4.4,43.0,7.87247,7.0,5.0,0.0,199.0,1.0,4.0,11.0,22.0
4.5,35.0,6.24388,5.0,4.0,0.0,164.0,1.0,3.0,9.0,18.0
4.6,22.0,4.95466,4.0,3.0,0.0,127.0,0.0,2.0,7.0,15.0
4.7,16.0,3.93072,3.0,2.0,0.0,94.0,0.0,1.0,6.0,12.0
4.8,13.0,3.11676,2.0,2.0,0.0,80.0,0.0,1.0,5.0,10.0
4.9,8.0,2.46658,2.0,1.0,0.0,71.0,0.0,0.0,4.0,9.0
5.0,5.0,1.94748,1.0,1.0,0.0,53.0,0.0,0.0,3.0,7.0
5.1,4.0,1.5385,1.0,0.0,0.0,41.0,0.0,0.0,3.0,6.0
5.2,4.0,1.21186,1.0,0.0,0.0,31.0,0.0,0.0,2.0,5.0
5.3,4.0,0.95382,1.0,0.0,0.0,27.0,0.0,0.0,2.0,4.0
5.4,3.0,0.75021,0.0,0.0,0.0,20.0,0.0,0.0,2.0,4.0
5.5,2.0,0.58868,0.0,0.0,0.0,17.0,0.0,0.0,1.0,3.0
5.6,1.0,0.45895,0.0,0.0,0.0,14.0,0.0,0.0,1.0,3.0
5.7,1.0,0.35508,0.0,0.0,0.0,14.0,0.0,0.0,1.0,2.0
5.8,1.0,0.27409,0.0,0.0,0.0,13.0,0.0,0.0,1.0,2.0
5.9,1.0,0.21077,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
6.0,1.0,0.16515,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
6.1,1.0,0.11812,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
6.2,1.0,0.08701,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
6.3,1.0,0.06417,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
6.4,1.0,0.0471,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.5,1.0,0.03377,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.6,1.0,0.0248,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
6.7,1.0,0.0177,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6.8,1.0,0.0128,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6.9,1.0,0.00888,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7.0,1.0,0.00644,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7.1,1.0,0.00469,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7.2,0.0,0.00341,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7.3,0.0,0.00219,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.4,0.0,0.00173,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.5,0.0,0.00131,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.6,0.0,6.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.7,0.0,1.6E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.8,0.0,1.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.9,0.0,4.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.0,0.0,1.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
