Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,43.69737,25.0,79.0,39.0,38.0,1.0,0.00223,34.05556
2.6,34.70051,19.0,64.0,31.0,30.0,1.0,0.00223,27.04239
2.7,27.55262,14.0,51.0,25.0,23.0,1.0,0.00223,21.47081
2.8,21.89063,11.0,41.0,20.0,19.0,1.0,0.00223,17.06155
2.9,17.38697,8.0,34.0,16.0,14.0,1.0,0.00223,13.54846
3.0,13.81584,5.0,27.0,12.0,12.0,0.99997,0.00223,10.76982
3.1,10.97447,4.0,22.0,10.0,9.0,0.99985,0.00223,8.55269
3.2,8.71128,3.0,18.0,8.0,7.0,0.99916,0.00223,6.78786
3.3,6.91585,2.0,15.0,6.0,5.0,0.99632,0.00223,5.39013
3.4,5.49048,1.0,13.0,5.0,4.0,0.98906,0.00223,4.28148
3.5,4.35921,0.0,11.0,4.0,3.0,0.97217,0.00223,3.39816
3.6,3.46518,0.0,9.0,3.0,2.0,0.94241,0.00223,2.70052
3.7,2.75016,0.0,8.0,2.0,2.0,0.89742,0.00223,2.14255
3.8,2.18574,0.0,7.0,2.0,1.0,0.83745,0.00223,1.70193
3.9,1.73246,0.0,6.0,1.0,1.0,0.76413,0.00223,1.34893
4.0,1.37638,0.0,5.0,1.0,1.0,0.68454,0.00223,1.07198
4.1,1.0911,0.0,4.0,1.0,0.0,0.60181,0.00223,0.8484
4.2,0.86545,0.0,4.0,1.0,0.0,0.5203,0.00223,0.67333
4.3,0.68757,0.0,3.0,0.0,0.0,0.44538,0.00223,0.53518
4.4,0.54455,0.0,3.0,0.0,0.0,0.3745,0.00223,0.42447
4.5,0.43073,0.0,2.0,0.0,0.0,0.31161,0.00223,0.33619
4.6,0.34146,0.0,2.0,0.0,0.0,0.2562,0.00223,0.26601
4.7,0.27115,0.0,2.0,0.0,0.0,0.21093,0.00223,0.21094
4.8,0.21412,0.0,2.0,0.0,0.0,0.17164,0.00223,0.16675
4.9,0.16886,0.0,1.0,0.0,0.0,0.13866,0.00223,0.13158
5.0,0.13359,0.0,1.0,0.0,0.0,0.11213,0.00223,0.10404
5.1,0.10585,0.0,1.0,0.0,0.0,0.09034,0.00223,0.08268
5.2,0.08385,0.0,1.0,0.0,0.0,0.07265,0.00223,0.06563
5.3,0.06554,0.0,1.0,0.0,0.0,0.05754,0.00223,0.05106
5.4,0.05129,0.0,1.0,0.0,0.0,0.04561,0.00223,0.04006
5.5,0.03976,0.0,1.0,0.0,0.0,0.0359,0.00223,0.03102
5.6,0.03018,0.0,1.0,0.0,0.0,0.0276,0.00223,0.02355
5.7,0.02255,0.0,0.0,0.0,0.0,0.02083,0.00223,0.01737
5.8,0.0167,0.0,0.0,0.0,0.0,0.01553,0.00223,0.01266
5.9,0.01249,0.0,0.0,0.0,0.0,0.01166,0.00223,0.00942
6.0,0.0095,0.0,0.0,0.0,0.0,0.00897,0.00223,0.00719
6.1,0.00673,0.0,0.0,0.0,0.0,0.00637,0.00173,0.00512
6.2,0.0047,0.0,0.0,0.0,0.0,0.0045,0.00145,0.00362
6.3,0.0034,0.0,0.0,0.0,0.0,0.00324,0.00106,0.00254
6.4,0.00259,0.0,0.0,0.0,0.0,0.00245,9.4E-4,0.00193
6.5,0.00196,0.0,0.0,0.0,0.0,0.00184,8.1E-4,0.00145
6.6,0.00151,0.0,0.0,0.0,0.0,0.00143,7.0E-4,0.00115
6.7,0.00113,0.0,0.0,0.0,0.0,0.00107,5.7E-4,8.6E-4
6.8,8.2E-4,0.0,0.0,0.0,0.0,7.8E-4,4.7E-4,6.5E-4
6.9,5.9E-4,0.0,0.0,0.0,0.0,5.8E-4,3.6E-4,5.0E-4
7.0,4.3E-4,0.0,0.0,0.0,0.0,4.3E-4,3.1E-4,3.7E-4
7.1,3.4E-4,0.0,0.0,0.0,0.0,3.4E-4,2.6E-4,2.8E-4
7.2,2.7E-4,0.0,0.0,0.0,0.0,2.7E-4,2.2E-4,2.2E-4
7.3,1.7E-4,0.0,0.0,0.0,0.0,1.7E-4,1.7E-4,1.3E-4
7.4,1.4E-4,0.0,0.0,0.0,0.0,1.4E-4,1.4E-4,1.0E-4
7.5,1.1E-4,0.0,0.0,0.0,0.0,1.1E-4,1.1E-4,8.0E-5
7.6,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,6.0E-5,3.0E-5
7.7,3.0E-5,0.0,0.0,0.0,0.0,3.0E-5,3.0E-5,2.0E-5
7.8,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5,1.0E-5
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
