Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 yr Probability,1 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,1584.1171,1112.0,3262.0,1372.0,1267.0,1.0,0.07694,846.87946
2.6,1258.247,879.0,2596.0,1091.0,992.0,1.0,0.07694,672.6519
2.7,999.4853,694.0,2063.0,867.0,814.0,1.0,0.07694,534.35486
2.8,793.9229,548.0,1640.0,689.0,632.0,1.0,0.07694,424.4914
2.9,630.6252,432.0,1306.0,548.0,502.0,1.0,0.07694,337.1557
3.0,500.91394,339.0,1037.0,436.0,406.0,1.0,0.07694,267.79456
3.1,397.82462,266.0,824.0,346.0,324.0,1.0,0.07694,212.65556
3.2,315.9542,209.0,655.0,275.0,254.0,1.0,0.07694,168.89307
3.3,250.90083,163.0,522.0,219.0,204.0,1.0,0.07694,134.11688
3.4,199.26237,127.0,415.0,174.0,159.0,1.0,0.07694,106.54294
3.5,158.24681,99.0,332.0,139.0,131.0,1.0,0.07694,84.60721
3.6,125.67682,77.0,264.0,110.0,100.0,1.0,0.07694,67.19545
3.7,99.82591,59.0,211.0,88.0,80.0,1.0,0.07694,53.38191
3.8,79.28301,45.0,168.0,70.0,63.0,1.0,0.07694,42.39851
3.9,62.94744,34.0,134.0,55.0,53.0,1.0,0.07694,33.6573
4.0,49.9861,26.0,107.0,44.0,41.0,1.0,0.07694,26.72487
4.1,39.66344,20.0,86.0,35.0,32.0,1.0,0.07694,21.20925
4.2,31.47378,15.0,69.0,28.0,25.0,1.0,0.07694,16.83184
4.3,24.96913,11.0,56.0,22.0,19.0,1.0,0.07694,13.35474
4.4,19.79752,8.0,45.0,17.0,15.0,1.0,0.07694,10.59005
4.5,15.69774,6.0,36.0,14.0,12.0,0.99999,0.07694,8.39758
4.6,12.43981,4.0,30.0,11.0,9.0,0.99983,0.07694,6.65336
4.7,9.85017,3.0,24.0,9.0,7.0,0.99888,0.07694,5.26719
4.8,7.79261,2.0,20.0,7.0,6.0,0.99576,0.07694,4.16294
4.9,6.15932,1.0,16.0,5.0,4.0,0.9876,0.07694,3.28709
5.0,4.86356,0.0,13.0,4.0,3.0,0.97047,0.07694,2.59502
5.1,3.83194,0.0,11.0,3.0,2.0,0.93983,0.07694,2.04428
5.2,3.01329,0.0,9.0,2.0,2.0,0.89282,0.07694,1.60547
5.3,2.35752,0.0,8.0,2.0,1.0,0.8305,0.07694,1.25354
5.4,1.84006,0.0,7.0,1.0,1.0,0.75457,0.07694,0.9755
5.5,1.43127,0.0,6.0,1.0,0.0,0.66993,0.07694,0.7556
5.6,1.10281,0.0,5.0,1.0,0.0,0.57927,0.07694,0.57993
5.7,0.84333,0.0,4.0,0.0,0.0,0.48938,0.07694,0.44101
5.8,0.63568,0.0,3.0,0.0,0.0,0.40256,0.07693,0.3295
5.9,0.47433,0.0,3.0,0.0,0.0,0.32312,0.07691,0.24434
6.0,0.35755,0.0,2.0,0.0,0.0,0.25642,0.07687,0.18054
6.1,0.25225,0.0,2.0,0.0,0.0,0.19245,0.05894,0.1282
6.2,0.17219,0.0,1.0,0.0,0.0,0.1383,0.04884,0.08668
6.3,0.12414,0.0,1.0,0.0,0.0,0.10275,0.03803,0.06227
6.4,0.09112,0.0,1.0,0.0,0.0,0.07688,0.0325,0.04495
6.5,0.06791,0.0,1.0,0.0,0.0,0.05853,0.02621,0.03364
6.6,0.05147,0.0,1.0,0.0,0.0,0.04577,0.02285,0.02582
6.7,0.0388,0.0,1.0,0.0,0.0,0.0349,0.01873,0.01967
6.8,0.02926,0.0,1.0,0.0,0.0,0.02695,0.01607,0.01501
6.9,0.02102,0.0,0.0,0.0,0.0,0.01991,0.01263,0.01088
7.0,0.01543,0.0,0.0,0.0,0.0,0.01481,0.01019,0.00806
7.1,0.01219,0.0,0.0,0.0,0.0,0.01183,0.00914,0.00622
7.2,0.00898,0.0,0.0,0.0,0.0,0.00877,0.00734,0.00452
7.3,0.00642,0.0,0.0,0.0,0.0,0.00629,0.00557,0.00313
7.4,0.00538,0.0,0.0,0.0,0.0,0.00527,0.00493,0.0026
7.5,0.0042,0.0,0.0,0.0,0.0,0.00414,0.00398,0.00203
7.6,0.00226,0.0,0.0,0.0,0.0,0.00223,0.00219,0.00112
7.7,8.0E-4,0.0,0.0,0.0,0.0,8.0E-4,8.0E-4,4.4E-4
7.8,4.6E-4,0.0,0.0,0.0,0.0,4.6E-4,4.6E-4,2.6E-4
7.9,2.3E-4,0.0,0.0,0.0,0.0,2.3E-4,2.3E-4,1.4E-4
8.0,5.0E-5,0.0,0.0,0.0,0.0,5.0E-5,5.0E-5,3.0E-5
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
