Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob,Primary Aftershocks Mean
2.5,1.71107,0.0,5.0,1.0,1.0,0.79576,1.2E-4,1.58772
2.6,1.35677,0.0,4.0,1.0,1.0,0.71635,1.2E-4,1.25851
2.7,1.07738,0.0,4.0,1.0,0.0,0.63283,1.2E-4,0.99936
2.8,0.85708,0.0,3.0,1.0,0.0,0.55107,1.2E-4,0.79507
2.9,0.6811,0.0,3.0,0.0,0.0,0.47163,1.2E-4,0.63138
3.0,0.54053,0.0,2.0,0.0,0.0,0.39827,1.2E-4,0.50161
3.1,0.42854,0.0,2.0,0.0,0.0,0.33189,1.2E-4,0.39732
3.2,0.33805,0.0,2.0,0.0,0.0,0.27273,1.2E-4,0.31348
3.3,0.26764,0.0,2.0,0.0,0.0,0.22343,1.2E-4,0.24787
3.4,0.21336,0.0,1.0,0.0,0.0,0.18307,1.2E-4,0.19799
3.5,0.16961,0.0,1.0,0.0,0.0,0.14837,1.2E-4,0.15732
3.6,0.13492,0.0,1.0,0.0,0.0,0.11998,1.2E-4,0.12497
3.7,0.10663,0.0,1.0,0.0,0.0,0.09597,1.2E-4,0.09863
3.8,0.0843,0.0,1.0,0.0,0.0,0.077,1.2E-4,0.07812
3.9,0.0666,0.0,1.0,0.0,0.0,0.06147,1.2E-4,0.06192
4.0,0.05313,0.0,1.0,0.0,0.0,0.04953,1.2E-4,0.04943
4.1,0.04197,0.0,1.0,0.0,0.0,0.0395,1.2E-4,0.03901
4.2,0.03308,0.0,1.0,0.0,0.0,0.03121,1.2E-4,0.03068
4.3,0.02586,0.0,0.0,0.0,0.0,0.02466,1.2E-4,0.02409
4.4,0.02038,0.0,0.0,0.0,0.0,0.0196,1.2E-4,0.01908
4.5,0.01593,0.0,0.0,0.0,0.0,0.01536,1.2E-4,0.01491
4.6,0.01267,0.0,0.0,0.0,0.0,0.01228,1.2E-4,0.01189
4.7,0.00995,0.0,0.0,0.0,0.0,0.00968,1.2E-4,0.00933
4.8,0.00789,0.0,0.0,0.0,0.0,0.00772,1.2E-4,0.00745
4.9,0.00632,0.0,0.0,0.0,0.0,0.00621,1.2E-4,0.006
5.0,0.00496,0.0,0.0,0.0,0.0,0.00488,1.2E-4,0.00468
5.1,0.00397,0.0,0.0,0.0,0.0,0.00392,1.2E-4,0.00376
5.2,0.00309,0.0,0.0,0.0,0.0,0.00304,1.2E-4,0.00289
5.3,0.00232,0.0,0.0,0.0,0.0,0.00231,1.2E-4,0.00218
5.4,0.00181,0.0,0.0,0.0,0.0,0.0018,1.2E-4,0.00173
5.5,0.00139,0.0,0.0,0.0,0.0,0.00138,1.2E-4,0.00132
5.6,0.0011,0.0,0.0,0.0,0.0,0.00109,1.2E-4,0.00104
