Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,368.0,922.8566,681.0,604.0,445.0,25244.0,540.0,590.0,992.0,3178.0
2.65,289.0,733.0331,542.0,486.0,360.0,20232.0,426.0,468.0,788.0,2534.0
2.75,295.0,582.3114,431.0,390.0,280.0,16212.0,337.0,371.0,626.0,2007.0
2.85,196.0,462.45993,342.0,308.0,206.0,12885.0,265.0,294.0,498.0,1601.0
2.95,149.0,367.30112,272.0,251.0,168.0,10281.0,209.0,233.0,395.0,1268.0
3.05,147.0,291.77878,217.0,195.0,126.0,8382.0,164.0,184.0,314.0,1009.0
3.15,104.0,231.73341,173.0,160.0,93.0,6452.0,128.0,146.0,250.0,803.0
3.25,113.0,184.1744,137.0,124.0,76.0,5143.0,101.0,115.0,199.0,637.0
3.35,82.0,146.29549,110.0,98.0,56.0,4156.0,78.0,91.0,159.0,506.0
3.45,101.0,116.15605,87.0,80.0,41.0,3140.0,61.0,72.0,126.0,403.0
3.55,94.0,92.28857,70.0,64.0,30.0,2599.0,47.0,57.0,101.0,320.0
3.65,63.0,73.33456,55.0,50.0,23.0,2055.0,36.0,44.0,80.0,252.0
3.75,28.0,58.22482,44.0,40.0,14.0,1656.0,28.0,35.0,64.0,204.0
3.85,30.0,46.27174,35.0,32.0,10.0,1342.0,21.0,27.0,52.0,160.0
3.95,25.0,36.7315,28.0,25.0,7.0,1023.0,16.0,21.0,41.0,128.0
4.05,20.0,29.1741,22.0,20.0,4.0,830.0,12.0,17.0,33.0,101.0
4.15,13.0,23.14006,18.0,16.0,2.0,659.0,9.0,13.0,27.0,81.0
4.25,6.0,18.41524,14.0,13.0,2.0,534.0,6.0,10.0,22.0,64.0
4.35,9.0,14.62506,11.0,10.0,0.0,434.0,5.0,8.0,18.0,51.0
4.45,6.0,11.64006,9.0,8.0,0.0,314.0,3.0,6.0,14.0,41.0
4.55,10.0,9.22047,7.0,6.0,0.0,240.0,2.0,4.0,12.0,33.0
4.65,6.0,7.33435,6.0,5.0,0.0,184.0,1.0,3.0,10.0,26.0
4.75,3.0,5.82583,5.0,4.0,0.0,183.0,1.0,2.0,8.0,21.0
4.85,5.0,4.62327,4.0,3.0,0.0,128.0,0.0,2.0,6.0,17.0
4.95,2.0,3.67166,3.0,2.0,0.0,111.0,0.0,1.0,5.0,13.0
5.05,1.0,2.91144,2.0,2.0,0.0,86.0,0.0,1.0,4.0,11.0
5.15,0.0,2.31517,2.0,1.0,0.0,61.0,0.0,0.0,4.0,9.0
5.25,0.0,1.84334,1.0,1.0,0.0,53.0,0.0,0.0,3.0,7.0
5.35,0.0,1.46675,1.0,1.0,0.0,47.0,0.0,0.0,3.0,6.0
5.45,1.0,1.15969,1.0,0.0,0.0,41.0,0.0,0.0,2.0,5.0
5.55,1.0,0.92359,1.0,0.0,0.0,30.0,0.0,0.0,2.0,4.0
5.65,0.0,0.72752,0.0,0.0,0.0,28.0,0.0,0.0,1.0,3.0
5.75,0.0,0.58564,0.0,0.0,0.0,19.0,0.0,0.0,1.0,3.0
5.85,0.0,0.46272,0.0,0.0,0.0,23.0,0.0,0.0,1.0,3.0
5.95,0.0,0.36631,0.0,0.0,0.0,15.0,0.0,0.0,1.0,2.0
6.05,0.0,0.29312,0.0,0.0,0.0,12.0,0.0,0.0,1.0,2.0
6.15,0.0,0.23414,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
6.25,0.0,0.18445,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0
6.35,0.0,0.14508,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0
6.45,0.0,0.11488,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
6.55,0.0,0.09081,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
6.65,0.0,0.07259,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
6.75,0.0,0.05827,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.85,0.0,0.04607,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.95,0.0,0.03748,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
7.05,0.0,0.02957,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
7.15,0.0,0.02237,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7.25,0.0,0.01832,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.35,0.0,0.01425,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7.45,0.0,0.01196,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.55,0.0,0.00886,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.65,0.0,0.00723,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.75,0.0,0.0061,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.85,0.0,0.00492,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.95,0.0,0.00375,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.05,0.0,0.0031,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.15,0.0,0.00258,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.25,0.0,0.0021,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
