Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3080622,176.0,120.45313,104.0,100.0,58.0,4105.0,78.0,90.0,129.0,253.0
0.6161244,244.0,228.30331,190.0,177.0,112.0,8167.0,148.0,166.0,240.0,531.0
0.92418665,303.0,332.99338,271.0,247.0,164.0,12105.0,214.0,237.0,349.0,828.0
1.2322488,350.0,432.86893,345.0,320.0,225.0,15231.0,274.0,303.0,451.0,1124.0
1.5403111,408.0,529.5023,417.0,387.0,272.0,22237.0,333.0,366.0,551.0,1423.0
1.8483733,450.0,610.9676,476.0,433.0,311.0,26605.0,381.0,418.0,635.0,1685.0
2.1564355,484.0,681.48175,527.0,484.0,344.0,29081.0,422.0,462.0,709.0,1913.0
2.4644976,516.0,744.09406,572.0,527.0,366.0,31161.0,458.0,501.0,774.0,2118.0
2.77256,547.0,800.2327,612.0,544.0,379.0,32578.0,490.0,536.0,834.0,2298.0
3.0806222,562.0,851.2614,649.0,581.0,399.0,33931.0,518.0,567.0,887.0,2476.0
3.3886843,591.0,898.0809,681.0,638.0,429.0,37976.0,544.0,596.0,937.0,2640.0
3.6967466,608.0,941.337,712.0,665.0,449.0,40723.0,568.0,622.0,982.0,2797.0
4.004809,636.0,981.25226,741.0,667.0,469.0,42520.0,590.0,646.0,1023.0,2929.0
4.312871,656.0,1018.4039,767.0,695.0,488.0,44082.0,611.0,669.0,1063.0,3038.0
4.620933,683.0,1053.3185,791.0,708.0,507.0,45367.0,630.0,690.0,1100.0,3164.0
4.928995,719.0,1085.9243,815.0,743.0,517.0,46610.0,648.0,709.0,1135.0,3284.0
5.2370577,744.0,1117.1351,837.0,767.0,537.0,47620.0,665.0,728.0,1168.0,3403.0
5.54512,767.0,1146.4644,857.0,782.0,551.0,48491.0,681.0,746.0,1199.0,3502.0
5.853182,785.0,1174.7361,877.0,789.0,564.0,49254.0,697.0,762.0,1230.0,3612.0
6.1612444,799.0,1201.0496,896.0,788.0,576.0,50047.0,711.0,779.0,1257.0,3691.0
6.4693065,810.0,1226.7479,914.0,821.0,587.0,50785.0,725.0,794.0,1286.0,3785.0
6.7773685,818.0,1251.4067,931.0,830.0,616.0,51469.0,738.0,808.0,1313.0,3877.0
7.0854306,826.0,1275.7457,947.0,840.0,628.0,52005.0,751.0,822.0,1339.0,3963.0
7.393493,838.0,1298.9163,963.0,873.0,642.0,52566.0,763.0,835.0,1364.0,4056.0
7.7015553,845.0,1321.2631,978.0,885.0,655.0,53088.0,775.0,848.0,1387.0,4127.0
8.009618,852.0,1342.32,993.0,899.0,667.0,53551.0,787.0,861.0,1411.0,4201.0
8.317679,862.0,1363.1658,1007.0,918.0,676.0,54008.0,798.0,873.0,1434.0,4277.0
8.625742,870.0,1383.2646,1021.0,912.0,686.0,54424.0,808.0,884.0,1455.0,4350.0
8.9338045,879.0,1402.985,1034.0,931.0,694.0,54769.0,818.0,895.0,1475.0,4421.0
9.241866,888.0,1421.9921,1047.0,938.0,700.0,55188.0,828.0,906.0,1497.0,4481.0
9.549929,899.0,1440.6703,1059.0,952.0,705.0,55529.0,837.0,917.0,1517.0,4569.0
9.85799,907.0,1458.2667,1071.0,964.0,710.0,55888.0,847.0,927.0,1536.0,4638.0
