Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,2725.5803,2521.0,3362.0,2670.0,2640.0,1.0,0.19436,2397.215
2.6,2164.9412,1994.0,2674.0,2121.0,2092.0,1.0,0.19436,1904.106
2.7,1719.5074,1576.0,2125.0,1685.0,1666.0,1.0,0.19436,1512.3575
2.8,1365.7549,1245.0,1690.0,1339.0,1329.0,1.0,0.19436,1201.2524
2.9,1084.813,982.0,1345.0,1064.0,1051.0,1.0,0.19436,954.1336
3.0,861.69836,774.0,1071.0,846.0,842.0,1.0,0.19436,757.914
3.1,684.41565,610.0,855.0,672.0,673.0,1.0,0.19436,601.9907
3.2,543.60376,480.0,681.0,534.0,530.0,1.0,0.19436,478.14502
3.3,431.7149,377.0,543.0,424.0,425.0,1.0,0.19436,379.72696
3.4,342.9119,296.0,433.0,337.0,330.0,1.0,0.19436,301.61765
3.5,272.31064,232.0,346.0,268.0,266.0,1.0,0.19436,239.51886
3.6,216.25952,181.0,276.0,213.0,210.0,1.0,0.19436,190.21468
3.7,171.74419,141.0,221.0,169.0,168.0,1.0,0.19436,151.05608
3.8,136.37975,109.0,177.0,134.0,130.0,1.0,0.19436,119.95941
3.9,108.28023,85.0,142.0,107.0,105.0,1.0,0.19436,95.24993
4.0,85.95694,66.0,114.0,85.0,83.0,1.0,0.19436,75.61261
4.1,68.20275,50.0,92.0,67.0,66.0,1.0,0.19436,59.99598
4.2,54.14434,38.0,75.0,53.0,51.0,1.0,0.19436,47.63313
4.3,42.962,29.0,61.0,42.0,41.0,1.0,0.19436,37.79424
4.4,34.06963,22.0,49.0,34.0,32.0,1.0,0.19436,29.97294
4.5,27.01204,16.0,40.0,27.0,25.0,1.0,0.19436,23.76382
4.6,21.39434,12.0,33.0,21.0,21.0,1.0,0.19436,18.82465
4.7,16.94536,9.0,27.0,17.0,16.0,1.0,0.19436,14.91161
4.8,13.40076,6.0,22.0,13.0,12.0,1.0,0.19436,11.79375
4.9,10.58575,4.0,18.0,10.0,10.0,0.99997,0.19436,9.32031
5.0,8.35101,3.0,15.0,8.0,8.0,0.99967,0.19436,7.35275
5.1,6.58406,2.0,13.0,6.0,6.0,0.99812,0.19436,5.79604
5.2,5.17676,1.0,11.0,5.0,4.0,0.99242,0.19436,4.55711
5.3,4.0617,1.0,9.0,4.0,3.0,0.97828,0.19436,3.57623
5.4,3.17619,0.0,7.0,3.0,3.0,0.95168,0.19436,2.79647
5.5,2.4704,0.0,6.0,2.0,2.0,0.90568,0.19436,2.17501
5.6,1.91371,0.0,5.0,2.0,1.0,0.84062,0.19435,1.68514
5.7,1.47235,0.0,4.0,1.0,1.0,0.7572,0.19435,1.29584
5.8,1.12182,0.0,4.0,1.0,1.0,0.66118,0.19433,0.98799
5.9,0.84325,0.0,3.0,1.0,0.0,0.55791,0.19432,0.74216
6.0,0.63979,0.0,3.0,0.0,0.0,0.46362,0.19425,0.56245
6.1,0.46507,0.0,2.0,0.0,0.0,0.36551,0.17138,0.41067
6.2,0.30161,0.0,2.0,0.0,0.0,0.25643,0.13161,0.26682
6.3,0.2285,0.0,1.0,0.0,0.0,0.20185,0.11331,0.20287
6.4,0.17045,0.0,1.0,0.0,0.0,0.15508,0.09806,0.151
6.5,0.1324,0.0,1.0,0.0,0.0,0.12255,0.08696,0.11753
6.6,0.11312,0.0,1.0,0.0,0.0,0.10658,0.08115,0.10138
6.7,0.09374,0.0,1.0,0.0,0.0,0.08905,0.07109,0.08445
6.8,0.07737,0.0,1.0,0.0,0.0,0.07441,0.06204,0.06983
6.9,0.06114,0.0,1.0,0.0,0.0,0.05966,0.0517,0.05539
7.0,0.04724,0.0,1.0,0.0,0.0,0.04655,0.04146,0.04274
7.1,0.03887,0.0,1.0,0.0,0.0,0.03852,0.03552,0.03524
7.2,0.02907,0.0,1.0,0.0,0.0,0.02892,0.02722,0.02619
7.3,0.02012,0.0,0.0,0.0,0.0,0.02006,0.01929,0.01815
7.4,0.01788,0.0,0.0,0.0,0.0,0.01784,0.01755,0.01613
7.5,0.01367,0.0,0.0,0.0,0.0,0.01364,0.01355,0.01229
7.6,0.00727,0.0,0.0,0.0,0.0,0.00725,0.00721,0.00655
7.7,0.00238,0.0,0.0,0.0,0.0,0.00238,0.00237,0.00206
7.8,0.00158,0.0,0.0,0.0,0.0,0.00158,0.00158,0.00134
7.9,0.00105,0.0,0.0,0.0,0.0,0.00105,0.00105,8.9E-4
8.0,3.4E-4,0.0,0.0,0.0,0.0,3.4E-4,3.4E-4,2.8E-4
8.1,8.0E-5,0.0,0.0,0.0,0.0,8.0E-5,8.0E-5,5.0E-5
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
