Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,2167.0,3177.2256,3119.0,3080.0,2781.0,5737.0,2943.0,3023.0,3277.0,3925.0
2.6,1799.0,2523.651,2479.0,2441.0,2167.0,4565.0,2330.0,2398.0,2607.0,3119.0
2.7,1510.0,2004.3898,1970.0,1942.0,1714.0,3639.0,1842.0,1901.0,2075.0,2480.0
2.8,1215.0,1592.0509,1565.0,1550.0,1345.0,2912.0,1456.0,1506.0,1652.0,1969.0
2.9,1019.0,1264.5326,1244.0,1240.0,1057.0,2304.0,1149.0,1193.0,1316.0,1565.0
3.0,870.0,1004.4564,989.0,979.0,828.0,1897.0,907.0,945.0,1048.0,1244.0
3.1,723.0,797.8176,786.0,783.0,648.0,1510.0,715.0,748.0,836.0,990.0
3.2,619.0,633.68744,624.0,620.0,489.0,1184.0,563.0,592.0,667.0,788.0
3.3,506.0,503.28683,496.0,490.0,379.0,921.0,443.0,468.0,532.0,627.0
3.4,424.0,399.75208,394.0,391.0,291.0,758.0,348.0,370.0,425.0,500.0
3.5,323.0,317.44754,313.0,309.0,232.0,611.0,273.0,292.0,340.0,399.0
3.6,229.0,252.104,249.0,246.0,176.0,472.0,213.0,230.0,272.0,318.0
3.7,166.0,200.1923,198.0,197.0,134.0,369.0,166.0,181.0,217.0,253.0
3.8,138.0,158.97186,157.0,154.0,99.0,302.0,130.0,143.0,174.0,203.0
3.9,108.0,126.21516,125.0,123.0,79.0,238.0,101.0,112.0,139.0,162.0
4.0,83.0,100.19552,99.0,100.0,59.0,190.0,78.0,88.0,112.0,130.0
4.1,63.0,79.49897,79.0,78.0,41.0,163.0,60.0,69.0,90.0,105.0
4.2,50.0,63.10091,62.0,62.0,27.0,130.0,46.0,54.0,72.0,85.0
4.3,44.0,50.06816,50.0,49.0,18.0,103.0,35.0,42.0,58.0,69.0
4.4,35.0,39.71158,39.0,38.0,12.0,87.0,27.0,33.0,47.0,56.0
4.5,29.0,31.48091,31.0,30.0,10.0,70.0,20.0,25.0,38.0,45.0
4.6,19.0,24.92813,25.0,24.0,5.0,62.0,15.0,19.0,30.0,37.0
4.7,13.0,19.74029,19.0,19.0,3.0,52.0,11.0,15.0,25.0,30.0
4.8,10.0,15.61118,15.0,14.0,2.0,42.0,8.0,11.0,20.0,25.0
4.9,5.0,12.33246,12.0,11.0,0.0,34.0,6.0,9.0,16.0,21.0
5.0,3.0,9.72416,9.0,9.0,0.0,28.0,4.0,6.0,13.0,17.0
5.1,2.0,7.66552,7.0,7.0,0.0,25.0,3.0,5.0,11.0,14.0
5.2,2.0,6.0256,6.0,5.0,0.0,23.0,2.0,3.0,9.0,12.0
5.3,2.0,4.72667,5.0,4.0,0.0,20.0,1.0,2.0,7.0,10.0
5.4,2.0,3.69485,3.0,3.0,0.0,18.0,0.0,2.0,6.0,8.0
5.5,1.0,2.87288,3.0,2.0,0.0,17.0,0.0,1.0,5.0,7.0
5.6,0.0,2.22313,2.0,2.0,0.0,13.0,0.0,1.0,4.0,6.0
5.7,0.0,1.70809,2.0,1.0,0.0,11.0,0.0,0.0,3.0,5.0
5.8,0.0,1.29872,1.0,1.0,0.0,10.0,0.0,0.0,2.0,4.0
5.9,0.0,0.97303,1.0,0.0,0.0,8.0,0.0,0.0,2.0,3.0
6.0,0.0,0.73672,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0
6.1,0.0,0.53333,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
6.2,0.0,0.34606,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
6.3,0.0,0.26202,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0
6.4,0.0,0.195,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0
6.5,0.0,0.15146,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.6,0.0,0.13004,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.7,0.0,0.10764,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.8,0.0,0.08917,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.9,0.0,0.0707,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.0,0.0,0.05463,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.1,0.0,0.04509,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.2,0.0,0.03356,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
7.3,0.0,0.02307,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.4,0.0,0.02046,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.5,0.0,0.01575,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0084,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.7,0.0,0.00255,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.8,0.0,0.00175,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.9,0.0,0.00112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.0,0.0,3.3E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.1,0.0,6.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
