Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,2704.5583,2184.0,4267.0,2532.0,2455.0,1.0,0.09553,1689.3793
2.6,2148.3738,1731.0,3388.0,2012.0,1922.0,1.0,0.09553,1342.0046
2.7,1706.5231,1369.0,2693.0,1599.0,1583.0,1.0,0.09553,1066.0083
2.8,1355.4932,1082.0,2142.0,1271.0,1237.0,1.0,0.09553,846.6652
2.9,1076.6726,855.0,1703.0,1010.0,966.0,1.0,0.09553,672.5562
3.0,855.2201,675.0,1354.0,803.0,763.0,1.0,0.09553,534.225
3.1,679.3107,531.0,1077.0,638.0,598.0,1.0,0.09553,424.3113
3.2,539.5903,419.0,857.0,508.0,478.0,1.0,0.09553,337.035
3.3,428.5246,329.0,682.0,403.0,387.0,1.0,0.09553,267.6692
3.4,340.31342,258.0,542.0,321.0,309.0,1.0,0.09553,212.58755
3.5,270.22247,202.0,432.0,255.0,245.0,1.0,0.09553,168.8024
3.6,214.59415,158.0,344.0,203.0,194.0,1.0,0.09553,134.05551
3.7,170.40057,123.0,275.0,161.0,155.0,1.0,0.09553,106.45411
3.8,135.28075,95.0,220.0,128.0,121.0,1.0,0.09553,84.51344
3.9,107.41301,74.0,176.0,102.0,100.0,1.0,0.09553,67.11441
4.0,85.26039,57.0,140.0,81.0,79.0,1.0,0.09553,53.2713
4.1,67.66642,43.0,112.0,64.0,62.0,1.0,0.09553,42.26818
4.2,53.68457,33.0,91.0,51.0,49.0,1.0,0.09553,33.53583
4.3,42.58895,25.0,73.0,40.0,39.0,1.0,0.09553,26.60176
4.4,33.75736,19.0,59.0,32.0,30.0,1.0,0.09553,21.08181
4.5,26.75431,14.0,48.0,25.0,25.0,1.0,0.09553,16.70809
4.6,21.19623,10.0,39.0,20.0,19.0,1.0,0.09553,13.23271
4.7,16.77879,7.0,32.0,16.0,15.0,0.99999,0.09553,10.47748
4.8,13.26578,5.0,26.0,12.0,12.0,0.99997,0.09553,8.28392
4.9,10.47648,4.0,21.0,10.0,9.0,0.99976,0.09553,6.54085
5.0,8.25904,2.0,18.0,8.0,7.0,0.99862,0.09553,5.15748
5.1,6.49399,1.0,15.0,6.0,5.0,0.99525,0.09553,4.05069
5.2,5.09162,1.0,12.0,5.0,4.0,0.98527,0.09553,3.17041
5.3,3.989,0.0,10.0,4.0,3.0,0.96363,0.09553,2.47875
5.4,3.10895,0.0,8.0,3.0,2.0,0.92573,0.09553,1.92917
5.5,2.40846,0.0,7.0,2.0,1.0,0.86968,0.09553,1.48859
5.6,1.84919,0.0,6.0,2.0,1.0,0.794,0.09553,1.13944
5.7,1.40788,0.0,5.0,1.0,1.0,0.70262,0.09553,0.8637
5.8,1.05305,0.0,4.0,1.0,0.0,0.6002,0.09551,0.64145
5.9,0.78029,0.0,3.0,0.0,0.0,0.49506,0.09545,0.47124
6.0,0.57513,0.0,3.0,0.0,0.0,0.3967,0.09539,0.34108
6.1,0.39948,0.0,2.0,0.0,0.0,0.29961,0.06499,0.23775
6.2,0.27281,0.0,2.0,0.0,0.0,0.21837,0.05511,0.15981
6.3,0.19299,0.0,2.0,0.0,0.0,0.16094,0.04158,0.11182
6.4,0.13748,0.0,1.0,0.0,0.0,0.11788,0.0351,0.07826
6.5,0.09959,0.0,1.0,0.0,0.0,0.08761,0.02756,0.05679
6.6,0.07304,0.0,1.0,0.0,0.0,0.06598,0.0233,0.0414
6.7,0.05252,0.0,1.0,0.0,0.0,0.04813,0.01873,0.0294
6.8,0.0378,0.0,1.0,0.0,0.0,0.03536,0.01556,0.02115
6.9,0.02599,0.0,0.0,0.0,0.0,0.02474,0.01162,0.01438
7.0,0.01859,0.0,0.0,0.0,0.0,0.018,0.0094,0.01002
7.1,0.01353,0.0,0.0,0.0,0.0,0.01318,0.00826,0.00709
7.2,0.0097,0.0,0.0,0.0,0.0,0.0095,0.00693,0.00482
7.3,0.00639,0.0,0.0,0.0,0.0,0.00628,0.00516,0.00299
7.4,0.00519,0.0,0.0,0.0,0.0,0.00513,0.00453,0.00237
7.5,0.00368,0.0,0.0,0.0,0.0,0.00365,0.00349,0.00155
7.6,0.0019,0.0,0.0,0.0,0.0,0.00189,0.00185,8.2E-4
7.7,5.6E-4,0.0,0.0,0.0,0.0,5.6E-4,5.4E-4,2.0E-4
7.8,3.4E-4,0.0,0.0,0.0,0.0,3.4E-4,3.3E-4,1.4E-4
7.9,1.8E-4,0.0,0.0,0.0,0.0,1.8E-4,1.8E-4,7.0E-5
8.0,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,6.0E-5,1.0E-5
8.1,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5,0.0
8.2,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
