Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 yr Probability,1 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,3847.6208,2948.0,6816.0,3529.0,3342.0,1.0,0.14311,2083.5
2.6,3056.307,2336.0,5412.0,2804.0,2590.0,1.0,0.14311,1655.039
2.7,2427.6392,1851.0,4299.0,2228.0,2044.0,1.0,0.14311,1314.6254
2.8,1928.2874,1464.0,3418.0,1771.0,1640.0,1.0,0.14311,1044.1212
2.9,1531.6245,1159.0,2718.0,1407.0,1333.0,1.0,0.14311,829.38727
3.0,1216.5714,916.0,2159.0,1118.0,1060.0,1.0,0.14311,658.78516
3.1,966.29395,723.0,1716.0,889.0,827.0,1.0,0.14311,523.22894
3.2,767.52124,571.0,1364.0,706.0,675.0,1.0,0.14311,415.59418
3.3,609.5368,450.0,1086.0,561.0,529.0,1.0,0.14311,330.0679
3.4,484.0816,354.0,863.0,446.0,421.0,1.0,0.14311,262.14746
3.5,384.40463,278.0,687.0,355.0,331.0,1.0,0.14311,208.16727
3.6,305.2686,217.0,546.0,282.0,261.0,1.0,0.14311,165.31058
3.7,242.41553,170.0,435.0,224.0,207.0,1.0,0.14311,131.27538
3.8,192.46806,132.0,346.0,178.0,168.0,1.0,0.14311,104.22716
3.9,152.80908,103.0,277.0,142.0,135.0,1.0,0.14311,82.75652
4.0,121.30296,80.0,220.0,113.0,103.0,1.0,0.14311,65.68544
4.1,96.28031,61.0,176.0,89.0,85.0,1.0,0.14311,52.12597
4.2,76.38618,47.0,141.0,71.0,66.0,1.0,0.14311,41.35576
4.3,60.5941,36.0,113.0,56.0,54.0,1.0,0.14311,32.80008
4.4,48.03781,27.0,90.0,45.0,43.0,1.0,0.14311,25.99822
4.5,38.07413,20.0,73.0,35.0,33.0,1.0,0.14311,20.59883
4.6,30.1645,15.0,58.0,28.0,26.0,1.0,0.14311,16.31153
4.7,23.88321,11.0,47.0,22.0,20.0,1.0,0.14311,12.91281
4.8,18.89187,8.0,38.0,17.0,16.0,1.0,0.14311,10.21092
4.9,14.92565,6.0,31.0,14.0,13.0,1.0,0.14311,8.06102
5.0,11.77229,4.0,26.0,11.0,9.0,0.99978,0.14311,6.35972
5.1,9.26425,3.0,21.0,8.0,7.0,0.99911,0.14311,4.99938
5.2,7.27009,2.0,17.0,7.0,6.0,0.9961,0.14311,3.91525
5.3,5.70244,1.0,14.0,5.0,4.0,0.98786,0.14311,3.06146
5.4,4.44613,0.0,12.0,4.0,3.0,0.96878,0.14311,2.38225
5.5,3.44606,0.0,10.0,3.0,2.0,0.93434,0.14311,1.83686
5.6,2.65182,0.0,8.0,2.0,2.0,0.88138,0.14311,1.40698
5.7,2.02307,0.0,7.0,2.0,1.0,0.80622,0.14311,1.06621
5.8,1.52043,0.0,5.0,1.0,1.0,0.71361,0.14309,0.79356
5.9,1.131,0.0,4.0,1.0,0.0,0.60873,0.143,0.58358
6.0,0.84149,0.0,4.0,1.0,0.0,0.50424,0.14293,0.42323
6.1,0.58473,0.0,3.0,0.0,0.0,0.3915,0.09835,0.29571
6.2,0.40172,0.0,2.0,0.0,0.0,0.29352,0.08388,0.19951
6.3,0.28539,0.0,2.0,0.0,0.0,0.22116,0.06429,0.13969
6.4,0.20462,0.0,2.0,0.0,0.0,0.16474,0.05426,0.09767
6.5,0.14829,0.0,1.0,0.0,0.0,0.12405,0.04294,0.07067
6.6,0.10914,0.0,1.0,0.0,0.0,0.09456,0.03626,0.05162
6.7,0.07884,0.0,1.0,0.0,0.0,0.06981,0.02922,0.03667
6.8,0.05722,0.0,1.0,0.0,0.0,0.05224,0.02432,0.0264
6.9,0.03914,0.0,1.0,0.0,0.0,0.0367,0.01823,0.01771
7.0,0.02767,0.0,1.0,0.0,0.0,0.0265,0.01458,0.01226
7.1,0.02034,0.0,0.0,0.0,0.0,0.01973,0.01288,0.00864
7.2,0.01482,0.0,0.0,0.0,0.0,0.01443,0.01086,0.00596
7.3,0.00986,0.0,0.0,0.0,0.0,0.00964,0.00812,0.00369
7.4,0.00816,0.0,0.0,0.0,0.0,0.00801,0.00719,0.00299
7.5,0.00584,0.0,0.0,0.0,0.0,0.00577,0.00556,0.00198
7.6,0.0029,0.0,0.0,0.0,0.0,0.00286,0.0028,0.00102
7.7,9.5E-4,0.0,0.0,0.0,0.0,9.5E-4,9.2E-4,2.7E-4
7.8,5.4E-4,0.0,0.0,0.0,0.0,5.4E-4,5.3E-4,1.8E-4
7.9,3.1E-4,0.0,0.0,0.0,0.0,3.1E-4,3.1E-4,1.0E-4
8.0,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,2.0E-5
8.1,3.0E-5,0.0,0.0,0.0,0.0,3.0E-5,3.0E-5,0.0
8.2,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
